method,slot_budget,n_holdouts,group,is_full_native,recall_mean,recall_median,recall_min,recall_max,unnecessary_mean,unnecessary_median,unnecessary_min,unnecessary_max,cost_mean,cost_median,cost_min,cost_max,served_ratio_mean,served_ratio_median,served_ratio_min,served_ratio_max,backend_fail_mean,backend_fail_median,backend_fail_min,backend_fail_max,delay_p50_mean,delay_p50_median,delay_p50_min,delay_p50_max,delay_p95_mean,delay_p95_median,delay_p95_min,delay_p95_max,served_attack_mass_mean,served_attack_mass_median,served_attack_mass_min,served_attack_mass_max,served_clean_count_mean,served_clean_count_median,served_clean_count_min,served_clean_count_max,expired_count_mean,expired_count_median,expired_count_min,expired_count_max,average_service_time_mean,average_service_time_median,average_service_time_min,average_service_time_max,average_service_cost_mean,average_service_cost_median,average_service_cost_min,average_service_cost_max
anchored_retune,1,8,full_native_source_anchored,True,0.01746813647456523,0.017379995632537868,0.0,0.028032345013477077,0.125,0.0,0.0,1.0,0.043281343361961586,0.046026199572818144,0.016870051777471383,0.06683171794401191,0.06262167293799265,0.06345431789737171,0.03664921465968586,0.10047846889952153,10.375,10.0,5.0,16.0,1.625,0.0,0.0,9.0,9.7,10.0,9.0,10.0,6.61875,6.05,3.2,11.349999999999998,0.125,0.0,0.0,1.0,194.75,191.0,159.0,224.0,23.555721466075425,21.054864892363547,8.821021636327108,54.321159907749724,1.8134943567498536,1.7769567026255417,1.012203106648283,2.691289382668219
anchored_retune,2,8,full_native_source_anchored,True,0.05430278772042975,0.050888772394739046,0.027643400138217,0.09920000000000001,1.125,1.0,0.0,2.0,0.18548747144419947,0.18152050389351357,0.03761384456956034,0.282856287867348,0.27365338597336597,0.31006749433441716,0.13612565445026178,0.3546511627906977,48.125,55.0,22.0,66.0,0.1875,0.0,0.0,1.5,8.525,8.600000000000001,8.0,9.0,24.5,23.4,10.900000000000002,41.349999999999994,1.125,1.0,0.0,2.0,151.125,151.5,111.0,193.0,17.391958862781657,18.28381864856451,9.307170632680258,24.055736963565533,1.6772167950980443,1.757182608487016,0.7812106179831761,2.0496561920249614
incumbent_queue_aware,1,8,full_native_diagnostic_baseline,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.75,206.5,172.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
incumbent_queue_aware,2,8,full_native_diagnostic_baseline,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.75,206.5,172.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
native_safeguarded_retune,1,8,full_native_safeguarded,True,0.015513059292472731,0.01783721242993155,0.0,0.028032345013477077,0.0,0.0,0.0,0.0,0.0370814754794072,0.03665711234552915,0.012174397295094692,0.07186482482835614,0.04765841935887305,0.044671888856044936,0.02617801047120419,0.0755813953488372,7.375,8.5,3.0,11.0,1.75,0.0,0.0,9.0,9.825,10.0,9.0,10.0,5.6499999999999995,5.25,3.2,7.999999999999999,0.0,0.0,0.0,0.0,198.0,194.5,159.0,228.0,29.2306991372353,20.742656282583873,8.821021636327108,70.6426992893219,2.055969939739719,1.8167162877137546,0.9391677913358762,3.880700540731232
native_safeguarded_retune,2,8,full_native_safeguarded,True,0.0156093090988977,0.017135453139321924,0.0,0.03170144462279293,0.0,0.0,0.0,0.0,0.040386710187248,0.038638285893538675,0.011139098753942225,0.07877838936927017,0.05352507302352605,0.04728818132757691,0.02617801047120419,0.09883720930232558,8.5,9.0,3.0,14.0,1.625,0.0,0.0,9.0,9.8125,10.0,9.0,10.0,6.449999999999999,5.3999999999999995,4.0,11.649999999999999,0.0,0.0,0.0,0.0,196.875,194.0,155.0,227.0,28.708313063601835,25.245270617441697,8.417057059027933,70.6426992893219,2.0561309178483613,1.801492215787849,0.7518891658911002,3.8673027508550812
native_unconstrained_retune,1,8,full_native_unconstrained,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00040251669716124313,0.0,-0.0030173668904791597,0.005028214987740082,0.003058280402995879,0.004421237556119461,0.0,0.005813953488372093,0.625,1.0,0.0,1.0,2.5,0.0,0.0,10.0,2.5,0.0,0.0,10.0,0.5375,0.5,0.0,1.2000000000000002,0.0,0.0,0.0,0.0,207.125,206.0,171.0,234.0,4.007747024297714,4.33542788028717,0.0,9.694662094116211,0.21735901646707134,0.0,-1.6293781208587461,2.7152360933796444
native_unconstrained_retune,2,8,full_native_unconstrained,True,0.08328306241820327,0.0786731774971828,0.0442294402211472,0.13643659711075443,0.25,0.0,0.0,1.0,0.18699038463249198,0.19532059272307245,0.05939046659645421,0.2623368951492803,0.2818809434327958,0.31630641244500013,0.15706806282722513,0.38461538461538464,46.25,44.5,23.0,74.0,0.0,0.0,0.0,0.0,8.581249999999997,8.749999999999996,6.549999999999983,9.799999999999997,30.53125,26.9,19.700000000000003,47.3,0.25,0.0,0.0,1.0,149.0,144.0,116.0,190.0,23.55719376132347,23.201855056408125,12.65005023214552,31.329991467793782,1.7066429196942017,1.6111974028106504,1.0690283987361757,2.517521888951424
phase3_oracle_upgrade,1,8,full_native_gate2_screen,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00040251669716124313,0.0,-0.0030173668904791597,0.005028214987740082,0.003058280402995879,0.004421237556119461,0.0,0.005813953488372093,0.625,1.0,0.0,1.0,2.5,0.0,0.0,10.0,2.5,0.0,0.0,10.0,0.5375,0.5,0.0,1.2000000000000002,0.0,0.0,0.0,0.0,207.125,206.0,171.0,234.0,4.007747024297714,4.33542788028717,0.0,9.694662094116211,0.21735901646707134,0.0,-1.6293781208587461,2.7152360933796444
phase3_oracle_upgrade,2,8,full_native_gate2_screen,True,0.08328306241820327,0.0786731774971828,0.0442294402211472,0.13643659711075443,0.25,0.0,0.0,1.0,0.18699038463249198,0.19532059272307245,0.05939046659645421,0.2623368951492803,0.2818809434327958,0.31630641244500013,0.15706806282722513,0.38461538461538464,46.25,44.5,23.0,74.0,0.0,0.0,0.0,0.0,8.581249999999997,8.749999999999996,6.549999999999983,9.799999999999997,30.53125,26.9,19.700000000000003,47.3,0.25,0.0,0.0,1.0,149.0,144.0,116.0,190.0,23.55719376132347,23.201855056408125,12.65005023214552,31.329991467793782,1.7066429196942017,1.6111974028106504,1.0690283987361757,2.517521888951424
phase3_proposed,1,8,full_native_baseline,True,0.0008640167192446268,0.0,0.0,0.005390835579514823,0.125,0.0,0.0,1.0,0.005041987964733818,0.005947367168452426,0.0,0.009324632657178342,0.008459073696583327,0.008528823422440445,0.0,0.0196078431372549,1.5,1.0,0.0,4.0,4.375,5.0,0.0,10.0,7.1875,9.5,0.0,10.0,0.9937499999999999,0.95,0.0,2.4999999999999996,0.125,0.0,0.0,1.0,206.0,203.0,170.0,233.0,10.334773850937685,7.739577770233154,0.0,40.11501896381378,1.334690920041453,1.1177954002287152,0.0,2.7152360933796444
phase3_proposed,2,8,full_native_baseline,True,0.0008640167192446268,0.0,0.0,0.005390835579514823,0.625,1.0,0.0,1.0,0.010377926819673651,0.01122699516558896,-0.01066289220555316,0.027472713723431366,0.020040388414894122,0.01874368991703613,0.005235602094240838,0.03488372093023256,3.875,4.0,1.0,7.0,4.75,4.75,0.0,10.0,8.43125,9.975,0.0,10.0,2.1875,2.0999999999999996,1.2000000000000002,3.1499999999999995,0.625,1.0,0.0,1.0,203.625,201.0,166.0,231.0,8.960657645194305,9.074820041656494,4.436851680278778,17.516665816307068,1.5177898214533911,1.6605981827654737,-0.9596602984997844,3.404407196863152
source_frozen_transfer,1,8,source_frozen_transfer,False,0.09165344704797701,0.0968815415821501,0.0525224602626123,0.14446227929373995,13.5,15.5,2.0,21.0,0.38810656132903876,0.37500724609216063,0.2795578891297669,0.54834455483675,0.5657872606734398,0.563185824788631,0.4397905759162304,0.6723404255319149,102.75,96.5,76.0,140.0,0.125,0.0,0.0,1.0,7.9499999999999975,8.0,4.8999999999999915,10.0,44.537499999999994,43.875,30.1,57.099999999999994,13.5,15.5,2.0,21.0,89.5,91.0,69.0,107.0,15.654045580277884,15.328183032414753,11.66007199468492,21.77173643168949,1.790577088029,1.7242248486344642,1.2842344067488476,2.3706753821838737
source_frozen_transfer,2,8,source_frozen_transfer,False,0.17722833468254356,0.19138132071835495,0.08569454042847269,0.2081743869209808,17.5,19.0,2.0,32.0,0.557481206663066,0.542169742470378,0.37178617262373387,0.7812281300187721,0.7545682624678727,0.7567259461924305,0.6073298429319371,0.8765957446808511,130.125,126.5,91.0,172.0,0.0,0.0,0.0,0.0,6.21875,7.0,1.75,9.0,67.8125,61.824999999999996,56.300000000000004,86.35,17.5,19.0,2.0,32.0,49.875,46.0,29.0,75.0,20.01364647884522,18.22452804414511,14.044381811780838,27.25368781747489,1.905676029862784,1.8707527695708257,1.4565347352892368,2.453544385064681
static_threshold,1,8,full_native_diagnostic_baseline,True,0.010764236235036768,0.005722070844686645,0.0,0.0414651002073255,2.875,2.5,0.0,6.0,0.03843056483607454,0.03839352675375991,0.004451798182573704,0.068724400639751,0.048979625091672266,0.04420241125894615,0.004784688995215311,0.08085106382978724,8.875,8.0,1.0,19.0,0.5,0.0,0.0,4.0,1.9999999999999993,0.5999999999999996,0.0,7.0,3.7375,2.9749999999999996,1.0499999999999998,10.000000000000002,2.875,2.5,0.0,6.0,0.625,0.0,0.0,2.0,23.38465215976886,10.563646907607714,3.72794508934021,74.67003189192877,2.09548576157204,2.1429950513332923,1.6245468540431602,2.421210844367528
static_threshold,2,8,full_native_diagnostic_baseline,True,0.014926154239194614,0.005722070844686645,0.0,0.0497581202487906,2.875,2.5,0.0,6.0,0.04135747032833319,0.042246578108585744,0.004451798182573704,0.068724400639751,0.051409005047795636,0.05140736826936933,0.004784688995215311,0.08085106382978724,8.875,8.0,1.0,19.0,0.0,0.0,0.0,0.0,1.2187499999999996,0.0,0.0,8.0,4.3,4.0,1.0499999999999998,11.200000000000001,2.875,2.5,0.0,6.0,0.125,0.0,0.0,1.0,34.3486828447533,10.563646907607714,3.72794508934021,94.2479374885559,2.1405987209887236,2.0924047783634405,1.6245468540431602,2.7733991150005086
topk_expected_consequence,1,8,full_native_baseline,True,0.07229359801579625,0.06704110189710982,0.0359364201796821,0.11035313001605139,14.75,17.5,1.0,23.0,0.35276786023631235,0.3216311923190869,0.23911816207522507,0.5923808443376258,0.5102129579750727,0.5106808778557295,0.41361256544502617,0.6324786324786325,94.75,86.0,71.0,134.0,0.5,0.0,0.0,2.0,8.375,9.0,6.0,9.0,40.1125,37.85,33.300000000000004,51.7,14.75,17.5,1.0,23.0,101.0,104.5,78.0,114.0,13.533997497284572,13.45396667061262,9.656015475054044,17.250383319734016,1.7822246923741896,1.687431642959456,1.4233312480129574,2.252860383184223
topk_expected_consequence,2,8,full_native_baseline,True,0.13216015222761318,0.13843356246534,0.0774015203870076,0.16171749598715887,17.5,19.5,2.0,31.0,0.4960025179858302,0.47071819445884644,0.3308502360026532,0.6984477035106524,0.6971963341182859,0.6973324213406293,0.5968586387434555,0.782051282051282,124.0,120.5,96.0,158.0,0.0,0.0,0.0,0.0,5.675000000000001,6.0,1.0,8.0,60.475,57.075,51.099999999999994,74.0,17.5,19.5,2.0,31.0,62.125,60.5,51.0,77.0,17.261831401664463,17.30388470176107,13.543522728668464,22.28015068748541,1.8407378012435887,1.9028659489066981,1.4328252202638616,2.2520292899270644
winner_replay,1,8,full_native_with_source_config,True,0.06289311908158118,0.07145380430358894,0.0359364201796821,0.07640000000000001,7.875,8.0,1.0,14.0,0.2808203259011209,0.24317785399195424,0.17481642474415282,0.4541288925668436,0.4281637204336693,0.447090112640801,0.3403141361256545,0.5128205128205128,77.875,79.0,57.0,105.0,0.375,0.0,0.0,1.0,8.724999999999996,8.899999999999991,7.799999999999997,9.799999999999997,32.16875,30.525,25.000000000000004,45.6,7.875,8.0,1.0,14.0,118.5,120.5,87.0,137.0,16.36037615117053,15.520801537810511,12.949939804169738,20.360581467549007,1.6894535738934968,1.6510911779879458,1.213509110341711,2.2737667831758785
winner_replay,2,8,full_native_with_source_config,True,0.12639928148054208,0.13170603697499572,0.0608154803040774,0.15319999999999998,11.5,12.5,1.0,21.0,0.45700611389471124,0.4280549394863905,0.3472461946006029,0.6449030650985412,0.6649397574908742,0.6729936160510716,0.5497382198952879,0.7649572649572649,117.875,114.0,89.0,152.0,0.0,0.0,0.0,0.0,6.431249999999999,7.224999999999994,3.0,9.0,59.918749999999996,57.125,47.800000000000004,80.39999999999999,11.5,12.5,1.0,21.0,68.875,67.5,55.0,86.0,17.858900827584243,17.348617808340126,14.533411244432369,22.37182973452977,1.7771699304677608,1.8273110046120482,1.3687076283527413,2.16050426278437
