method,calibration_mode,holdout_id,B,alpha,fail_cap_quantile,recall,scheduler_recall,backend_fail,cost,unnecessary,served_ratio,served_attack_mass,backend_success_attack_mass,clean_service,served_clean_count,served_attack_count,recover_fail,recover_fail_attack,recover_fail_clean,delay_p50,delay_p95,average_service_time,average_service_cost,total_service_cost,actual_backend_fail_used_in_decision,actual_recover_fail_used_in_decision,component
source_frozen_transfer,,cfC_interleaved_0_seed20260611_off1260,1,0.0,,0.06792452830188676,0.06792452830188676,93,0.40752433307193653,2,0.5988372093023255,38.449999999999996,6.3,2,2,101,9,8,1,0.0,4.8999999999999915,14.255845951802522,2.136535338435395,220.06313985884572,False,False,none
fail_only_alpha_0.25,,cfC_interleaved_0_seed20260611_off1260,1,0.25,,0.06792452830188676,0.06792452830188676,92,0.38621308193515286,1,0.5930232558139535,38.449999999999996,6.3,1,1,101,9,8,1,0.0,4.949999999999989,14.349416819273257,2.0446574925978678,208.55506424498253,False,False,fail_only
fail_only_alpha_0.5,,cfC_interleaved_0_seed20260611_off1260,1,0.5,,0.06792452830188676,0.06792452830188676,92,0.38621308193515286,1,0.5930232558139535,38.449999999999996,6.3,1,1,101,9,8,1,0.0,4.949999999999989,14.349416819273257,2.0446574925978678,208.55506424498253,False,False,fail_only
fail_only_alpha_1.0,,cfC_interleaved_0_seed20260611_off1260,1,1.0,,0.06792452830188676,0.06792452830188676,91,0.38534085016039404,1,0.5872093023255814,38.3,6.3,1,1,100,9,8,1,0.0,5.0,14.452101742867196,2.0602382087783444,208.0840590866128,False,False,fail_only
cost_time_only_alpha_0.25,,cfC_interleaved_0_seed20260611_off1260,1,0.25,,0.06792452830188676,0.06792452830188676,94,0.4036047152958906,2,0.6046511627906976,39.5,6.3,2,2,102,9,8,1,0.0,5.0,14.019937249330374,2.0956398678825088,217.94654625978092,False,False,cost_time_only
cost_time_only_alpha_0.5,,cfC_interleaved_0_seed20260611_off1260,1,0.5,,0.07870619946091642,0.07870619946091642,99,0.3752260464347391,2,0.6453488372093024,44.1,7.3,2,2,109,10,9,1,0.0,7.5,14.353060866261387,1.8254240096825145,202.62206507475912,False,False,cost_time_only
cost_time_only_alpha_1.0,,cfC_interleaved_0_seed20260611_off1260,1,1.0,,0.07870619946091642,0.07870619946091642,104,0.37306538428312064,2,0.6744186046511628,48.25,7.3,2,2,114,11,10,1,0.0,8.25,12.391678411385108,1.7366836854559065,201.45530751288516,False,False,cost_time_only
full_trbg_alpha_0.25,,cfC_interleaved_0_seed20260611_off1260,1,0.25,,0.06792452830188676,0.06792452830188676,93,0.40752433307193653,2,0.5988372093023255,38.449999999999996,6.3,2,2,101,9,8,1,0.0,4.8999999999999915,14.255845951802522,2.136535338435395,220.06313985884572,False,False,full_trbg
full_trbg_alpha_0.5,,cfC_interleaved_0_seed20260611_off1260,1,0.5,,0.07331536388140159,0.07331536388140159,95,0.42757097219059687,2,0.6162790697674418,39.949999999999996,6.8,2,2,104,9,8,1,0.0,6.75,14.052282547051052,2.1781917451219086,230.8883249829223,False,False,full_trbg
full_trbg_alpha_1.0,,cfC_interleaved_0_seed20260611_off1260,1,1.0,,0.07331536388140159,0.07331536388140159,94,0.4266987404158381,2,0.6104651162790697,39.8,6.8,2,2,103,9,8,1,0.0,6.0,14.148225813820249,2.1944506649957387,230.41731982455258,False,False,full_trbg
source_frozen_transfer,,cfC_interleaved_0_seed20260611_off1260,2,0.0,,0.1849056603773585,0.1849056603773585,109,0.4827075379896794,2,0.7732558139534884,60.599999999999994,17.15,2,2,131,11,10,1,0.0,7.0,18.168265570375254,1.959865191837796,260.6620705144269,False,False,none
fail_only_alpha_0.25,,cfC_interleaved_0_seed20260611_off1260,2,0.25,,0.1849056603773585,0.1849056603773585,108,0.46139628685289574,1,0.7674418604651163,60.599999999999994,17.15,1,1,131,11,10,1,0.0,7.0,18.270209874167588,1.88753026439821,249.1539949005637,False,False,fail_only
fail_only_alpha_0.5,,cfC_interleaved_0_seed20260611_off1260,2,0.5,,0.1849056603773585,0.1849056603773585,108,0.46139628685289574,1,0.7674418604651163,60.599999999999994,17.15,1,1,131,11,10,1,0.0,7.0,18.270209874167588,1.88753026439821,249.1539949005637,False,False,fail_only
fail_only_alpha_1.0,,cfC_interleaved_0_seed20260611_off1260,2,1.0,,0.1849056603773585,0.1849056603773585,107,0.460524055078137,1,0.7616279069767442,60.449999999999996,17.15,1,1,130,11,10,1,0.0,7.0,18.37930888438043,1.8983434331465188,248.68298974219397,False,False,fail_only
cost_time_only_alpha_0.25,,cfC_interleaved_0_seed20260611_off1260,2,0.25,,0.17897574123989218,0.17897574123989218,112,0.5360531268564652,2,0.7906976744186046,62.65,16.599999999999998,2,2,134,11,10,1,0.0,6.25,18.72368025779724,2.128446238988906,289.4686885024912,False,False,cost_time_only
cost_time_only_alpha_0.5,,cfC_interleaved_0_seed20260611_off1260,2,0.5,,0.17358490566037735,0.17358490566037735,113,0.5081941322939437,2,0.7906976744186046,63.199999999999996,16.099999999999998,2,2,134,11,10,1,0.0,6.25,17.64364055675619,2.017829642931835,274.4248314387296,False,False,cost_time_only
cost_time_only_alpha_1.0,,cfC_interleaved_0_seed20260611_off1260,2,1.0,,0.18436657681940702,0.18436657681940702,115,0.4804407849093928,2,0.813953488372093,66.3,17.099999999999998,2,2,138,12,11,1,0.0,8.0,16.757956298760007,1.8531287417933722,259.4380238510721,False,False,cost_time_only
full_trbg_alpha_0.25,,cfC_interleaved_0_seed20260611_off1260,2,0.25,,0.1902964959568733,0.1902964959568733,108,0.5044723148278165,2,0.7732558139534884,61.15,17.65,2,2,131,10,9,1,0.0,6.0,19.192851365957043,2.0482334586994053,272.4150500070209,False,False,full_trbg
full_trbg_alpha_0.5,,cfC_interleaved_0_seed20260611_off1260,2,0.5,,0.19622641509433963,0.19622641509433963,111,0.5313882719203548,2,0.7906976744186046,64.3,18.2,2,2,134,11,10,1,0.0,6.0,18.116980358081705,2.109924020860232,286.9496668369916,False,False,full_trbg
full_trbg_alpha_1.0,,cfC_interleaved_0_seed20260611_off1260,2,1.0,,0.16226415094339622,0.16226415094339622,110,0.5280593525576166,2,0.7674418604651163,61.0,15.049999999999999,2,2,130,12,11,1,0.0,6.0,18.555173821521528,2.1602428059175227,285.152050381113,False,False,full_trbg
source_frozen_transfer,,cfC_interleaved_1_seed20260612_off1320,1,0.0,,0.11880108991825612,0.11880108991825612,93,0.48291535563004834,19,0.5392156862745098,41.199999999999996,10.899999999999999,19,19,91,3,3,0,0.0,10.0,16.667372103170916,2.3706753821838737,260.7742920402261,False,False,none
fail_only_alpha_0.25,,cfC_interleaved_1_seed20260612_off1320,1,0.25,,0.11880108991825612,0.11880108991825612,83,0.34895373991222794,10,0.4852941176470588,40.55,10.899999999999999,10,10,89,2,2,0,0.0,9.0,17.652989958271835,1.9033840358848797,188.43501955260308,False,False,fail_only
fail_only_alpha_0.5,,cfC_interleaved_1_seed20260612_off1320,1,0.5,,0.1302452316076294,0.1302452316076294,80,0.33273689324835487,9,0.47549019607843135,39.5,11.95,9,9,88,2,2,0,0.0,9.0,18.02821500276782,1.8523497149908414,179.67792235411162,False,False,fail_only
fail_only_alpha_1.0,,cfC_interleaved_1_seed20260612_off1320,1,1.0,,0.1302452316076294,0.1302452316076294,70,0.31186071679003363,8,0.4264705882352941,34.55,11.95,8,8,79,2,2,0,0.0,8.700000000000003,19.899389165571367,1.9356872076622778,168.40478706661816,False,False,fail_only
cost_time_only_alpha_0.25,,cfC_interleaved_1_seed20260612_off1320,1,0.25,,0.12425068119891007,0.12425068119891007,94,0.437633563954279,16,0.5441176470588235,43.0,11.399999999999999,16,16,95,3,3,0,0.0,10.0,16.257256024592632,2.1290281489667624,236.32212453531065,False,False,cost_time_only
cost_time_only_alpha_0.5,,cfC_interleaved_1_seed20260612_off1320,1,0.5,,0.11825613079019072,0.11825613079019072,107,0.47901978830549086,17,0.6078431372549019,52.449999999999996,10.85,17,17,107,4,3,1,0.0,10.0,14.271369749499906,2.0860539168142345,258.67068568496506,False,False,cost_time_only
cost_time_only_alpha_1.0,,cfC_interleaved_1_seed20260612_off1320,1,1.0,,0.11171662125340598,0.11171662125340598,102,0.4864778075125169,17,0.5784313725490197,49.849999999999994,10.25,17,17,101,4,3,1,0.0,10.0,15.525504126387128,2.2262543733623654,262.6980160567591,False,False,cost_time_only
full_trbg_alpha_0.25,,cfC_interleaved_1_seed20260612_off1320,1,0.25,,0.12425068119891007,0.12425068119891007,84,0.3259385432623141,9,0.4950980392156863,42.05,11.399999999999999,9,9,92,3,3,0,0.0,8.0,17.27358591910636,1.7426417164519765,176.00681336164962,False,False,full_trbg
full_trbg_alpha_0.5,,cfC_interleaved_1_seed20260612_off1320,1,0.5,,0.12425068119891007,0.12425068119891007,84,0.3251826210406223,11,0.4950980392156863,40.949999999999996,11.399999999999999,11,11,90,3,3,0,0.0,9.0,17.829810586306127,1.7386001520983765,175.59861536193603,False,False,full_trbg
full_trbg_alpha_1.0,,cfC_interleaved_1_seed20260612_off1320,1,1.0,,0.12425068119891007,0.12425068119891007,81,0.32274721609078877,13,0.4803921568627451,40.15,11.399999999999999,13,13,85,3,3,0,0.0,9.149999999999991,17.944086926324026,1.77840302743904,174.28349668902592,False,False,full_trbg
source_frozen_transfer,,cfC_interleaved_1_seed20260612_off1320,2,0.0,,0.2081743869209808,0.2081743869209808,121,0.6860837076754942,32,0.7401960784313726,59.05,19.099999999999998,32,32,119,3,2,1,0.0,9.0,22.708613774634355,2.453544385064681,370.48520214476684,False,False,none
fail_only_alpha_0.25,,cfC_interleaved_1_seed20260612_off1320,2,0.25,,0.2081743869209808,0.2081743869209808,111,0.5512878866242132,22,0.6862745098039216,58.9,19.099999999999998,22,22,118,3,2,1,0.0,9.0,23.89464156627655,2.1263961341219653,297.69545877707515,False,False,fail_only
fail_only_alpha_0.5,,cfC_interleaved_1_seed20260612_off1320,2,0.5,,0.2081743869209808,0.2081743869209808,108,0.5256742148324908,20,0.6715686274509803,57.849999999999994,19.099999999999998,20,20,117,3,2,1,0.0,8.199999999999989,24.30977607469489,2.072000554814197,283.864076009545,False,False,fail_only
fail_only_alpha_1.0,,cfC_interleaved_1_seed20260612_off1320,2,1.0,,0.2081743869209808,0.2081743869209808,100,0.498884915422106,17,0.6323529411764706,55.949999999999996,19.099999999999998,17,17,112,2,2,0,0.0,8.599999999999994,25.4404282495957,2.08835545990649,269.39785432793724,False,False,fail_only
cost_time_only_alpha_0.25,,cfC_interleaved_1_seed20260612_off1320,2,0.25,,0.19673024523160754,0.19673024523160754,122,0.6799212272263317,30,0.7401960784313726,59.199999999999996,18.049999999999997,30,30,121,4,3,1,0.0,9.0,22.497665558429745,2.4315063755113853,367.15746270221916,False,False,cost_time_only
cost_time_only_alpha_0.5,,cfC_interleaved_1_seed20260612_off1320,2,0.5,,0.2076294277929154,0.2076294277929154,126,0.6949689511823753,30,0.7696078431372549,64.39999999999999,19.049999999999997,30,30,127,3,2,1,0.0,9.0,21.69936077002507,2.3903390677610363,375.28323363848267,False,False,cost_time_only
cost_time_only_alpha_1.0,,cfC_interleaved_1_seed20260612_off1320,2,1.0,,0.2076294277929154,0.2076294277929154,119,0.6709967325939925,25,0.7352941176470589,62.849999999999994,19.049999999999997,25,25,125,4,3,1,0.0,9.0,22.36989942073822,2.415588237338373,362.338235600756,False,False,cost_time_only
full_trbg_alpha_0.25,,cfC_interleaved_1_seed20260612_off1320,2,0.25,,0.19673024523160754,0.19673024523160754,113,0.5664778927362578,24,0.6911764705882353,57.849999999999994,18.049999999999997,24,24,117,3,2,1,0.0,9.0,23.51578003802198,2.1694898019686466,305.8980620775792,False,False,full_trbg
full_trbg_alpha_0.5,,cfC_interleaved_1_seed20260612_off1320,2,0.5,,0.2081743869209808,0.2081743869209808,110,0.5478860772045546,21,0.6813725490196079,58.24999999999999,19.099999999999998,21,21,118,3,2,1,0.0,9.0,24.015727324451476,2.128478285542874,295.8584816904595,False,False,full_trbg
full_trbg_alpha_1.0,,cfC_interleaved_1_seed20260612_off1320,2,1.0,,0.20217983651226146,0.20217983651226146,104,0.5101581741796154,19,0.6519607843137255,57.65,18.549999999999997,19,19,114,4,3,1,0.0,9.0,24.60771305578992,2.071318902684153,275.48541405699234,False,False,full_trbg
source_frozen_transfer,,cfD_tailheavy_0_seed20260621_off1380,1,0.0,,0.0525224602626123,0.0525224602626123,100,0.3073355674061885,17,0.5376884422110553,45.400000000000006,7.600000000000001,17,17,90,7,4,3,0.0,7.699999999999989,16.400520113026985,1.5510393121433812,165.9612063993418,False,False,none
fail_only_alpha_0.25,,cfD_tailheavy_0_seed20260621_off1380,1,0.25,,0.0525224602626123,0.0525224602626123,94,0.3141905466095691,12,0.507537688442211,44.2,7.600000000000001,12,12,89,8,5,3,0.0,9.0,16.89615860787949,1.6798306452392804,169.6628951691673,False,False,fail_only
fail_only_alpha_0.5,,cfD_tailheavy_0_seed20260621_off1380,1,0.5,,0.0525224602626123,0.0525224602626123,94,0.29038827880244583,12,0.507537688442211,44.2,7.600000000000001,12,12,89,7,4,3,0.0,8.0,16.959819569446072,1.5525709955774332,156.80967055332076,False,False,fail_only
fail_only_alpha_1.0,,cfD_tailheavy_0_seed20260621_off1380,1,1.0,,0.0608154803040774,0.0608154803040774,84,0.29059793017984836,12,0.4623115577889447,42.2,8.8,12,12,80,7,4,3,0.0,8.450000000000003,18.476063544335574,1.7056835032295448,156.92288229711812,False,False,fail_only
cost_time_only_alpha_0.25,,cfD_tailheavy_0_seed20260621_off1380,1,0.25,,0.0525224602626123,0.0525224602626123,104,0.3168090265592599,16,0.5577889447236181,51.400000000000006,7.600000000000001,16,16,95,7,4,3,0.0,7.5,15.458980693473473,1.5412331021801833,171.07687434200034,False,False,cost_time_only
cost_time_only_alpha_0.5,,cfD_tailheavy_0_seed20260621_off1380,1,0.5,,0.0525224602626123,0.0525224602626123,103,0.3164737759965057,15,0.5527638190954773,51.400000000000006,7.600000000000001,15,15,95,8,5,3,0.0,7.0,15.498469380898909,1.5535985367101188,170.89583903811308,False,False,cost_time_only
cost_time_only_alpha_1.0,,cfD_tailheavy_0_seed20260621_off1380,1,1.0,,0.0442294402211472,0.0442294402211472,105,0.30806280813124903,14,0.5577889447236181,53.00000000000001,6.400000000000001,14,14,97,8,5,3,0.0,9.0,14.770814884890306,1.4986839314493197,166.35391639087447,False,False,cost_time_only
full_trbg_alpha_0.25,,cfD_tailheavy_0_seed20260621_off1380,1,0.25,,0.0525224602626123,0.0525224602626123,92,0.2812137482632621,9,0.49748743718592964,45.400000000000006,7.600000000000001,9,9,90,7,4,3,0.0,8.099999999999994,17.096480738032948,1.5338931723450662,151.85542406216155,False,False,full_trbg
full_trbg_alpha_0.5,,cfD_tailheavy_0_seed20260621_off1380,1,0.5,,0.0525224602626123,0.0525224602626123,90,0.28087849770050793,8,0.48743718592964824,44.2,7.600000000000001,8,8,89,7,4,3,0.0,7.199999999999989,17.273928268668577,1.5636534923533432,151.6743887582743,False,False,full_trbg
full_trbg_alpha_1.0,,cfD_tailheavy_0_seed20260621_off1380,1,1.0,,0.0525224602626123,0.0525224602626123,78,0.2652739364447775,9,0.4271356783919598,42.6,7.600000000000001,9,9,76,7,4,3,0.0,6.599999999999994,22.464214911180385,1.6852697138844686,143.24792568017983,False,False,full_trbg
source_frozen_transfer,,cfD_tailheavy_0_seed20260621_off1380,2,0.0,,0.08569454042847269,0.08569454042847269,115,0.4157160810375663,24,0.6331658291457286,57.10000000000001,12.400000000000002,24,24,102,8,5,3,0.0,1.75,25.376260032729498,1.7816403473038556,224.4866837602858,False,False,none
fail_only_alpha_0.25,,cfD_tailheavy_0_seed20260621_off1380,2,0.25,,0.08569454042847269,0.08569454042847269,108,0.373412706408561,17,0.5979899497487438,57.10000000000001,12.400000000000002,17,17,102,8,5,3,0.0,5.099999999999994,26.416456637262296,1.6944778274001928,201.64286146062295,False,False,fail_only
fail_only_alpha_0.5,,cfD_tailheavy_0_seed20260621_off1380,2,0.5,,0.09398756046993778,0.09398756046993778,103,0.34510389619296666,13,0.5778894472361809,57.10000000000001,13.600000000000001,13,13,102,8,5,3,0.0,4.299999999999997,27.09875165068585,1.6204878603843653,186.356103944202,False,False,fail_only
fail_only_alpha_1.0,,cfD_tailheavy_0_seed20260621_off1380,2,1.0,,0.08569454042847269,0.08569454042847269,92,0.34371802732818346,13,0.5175879396984925,51.50000000000001,12.400000000000002,13,13,90,7,4,3,0.0,3.599999999999966,26.721397997106163,1.8020168423030978,185.60773475721908,False,False,fail_only
cost_time_only_alpha_0.25,,cfD_tailheavy_0_seed20260621_off1380,2,0.25,,0.09398756046993778,0.09398756046993778,120,0.4437822130092947,24,0.6633165829145728,64.30000000000001,13.600000000000001,24,24,108,8,5,3,0.0,2.8999999999999773,23.261170589562617,1.8154726895834783,239.64239502501914,False,False,cost_time_only
cost_time_only_alpha_0.5,,cfD_tailheavy_0_seed20260621_off1380,2,0.5,,0.08569454042847269,0.08569454042847269,120,0.4241967491342115,24,0.6582914572864321,63.10000000000001,12.400000000000002,24,24,107,8,5,3,0.0,3.0,24.012638885556285,1.7485972865074368,229.06624453247423,False,False,cost_time_only
cost_time_only_alpha_1.0,,cfD_tailheavy_0_seed20260621_off1380,2,1.0,,0.08569454042847269,0.08569454042847269,114,0.36254525958266237,20,0.628140703517588,60.70000000000001,12.400000000000002,20,20,105,8,5,3,0.0,5.799999999999997,22.56202017593384,1.5661955213971015,195.77444017463768,False,False,cost_time_only
full_trbg_alpha_0.25,,cfD_tailheavy_0_seed20260621_off1380,2,0.25,,0.06910850034554249,0.06910850034554249,111,0.38193960682965555,19,0.6030150753768844,55.900000000000006,10.000000000000002,19,19,101,8,5,3,0.0,2.0,27.11482775012652,1.71872823073345,206.247387688014,False,False,full_trbg
full_trbg_alpha_0.5,,cfD_tailheavy_0_seed20260621_off1380,2,0.5,,0.09398756046993778,0.09398756046993778,106,0.3854458673985206,15,0.592964824120603,58.300000000000004,13.600000000000001,15,15,103,8,5,3,0.0,2.299999999999983,25.701819027884532,1.763904816908484,208.14076839520112,False,False,full_trbg
full_trbg_alpha_1.0,,cfD_tailheavy_0_seed20260621_off1380,2,1.0,,0.09398756046993778,0.09398756046993778,97,0.38694795965078876,15,0.5477386934673367,57.400000000000006,13.600000000000001,15,15,94,7,4,3,0.0,3.1999999999999886,27.39284104600959,1.9169898918479444,208.95189821142594,False,False,full_trbg
source_frozen_transfer,,cfD_tailheavy_1_seed20260622_off1440,1,0.0,,0.05468215994531784,0.05468215994531784,76,0.2795578891297669,10,0.4397905759162304,30.1,8.000000000000002,10,10,74,3,3,0,0.0,7.0,21.77173643168949,1.797157858691359,150.96126013007415,False,False,none
fail_only_alpha_0.25,,cfD_tailheavy_1_seed20260622_off1440,1,0.25,,0.08749145591250852,0.08749145591250852,73,0.2745094657062627,4,0.44502617801047123,36.900000000000006,12.800000000000002,4,4,81,3,3,0,1.0,9.0,21.157943630218504,1.7439424880162573,148.23511148138186,False,False,fail_only
fail_only_alpha_0.5,,cfD_tailheavy_1_seed20260622_off1440,1,0.5,,0.08749145591250852,0.08749145591250852,72,0.256720775335833,3,0.4397905759162304,36.1,12.800000000000002,3,3,81,3,3,0,1.0,9.0,20.93450739837828,1.6503478414446406,138.6292186813498,False,False,fail_only
fail_only_alpha_1.0,,cfD_tailheavy_1_seed20260622_off1440,1,1.0,,0.09569377990430619,0.09569377990430619,66,0.24163999328796695,3,0.41361256544502617,36.1,14.000000000000002,3,3,76,3,3,0,1.0,9.0,22.315969880623154,1.651716409816483,130.48559637550215,False,False,fail_only
cost_time_only_alpha_0.25,,cfD_tailheavy_1_seed20260622_off1440,1,0.25,,0.05468215994531784,0.05468215994531784,77,0.27209493000612184,9,0.44502617801047123,31.700000000000003,8.000000000000002,9,9,76,3,3,0,0.0,8.799999999999997,21.538316409728107,1.7286030847447738,146.93126220330578,False,False,cost_time_only
cost_time_only_alpha_0.5,,cfD_tailheavy_1_seed20260622_off1440,1,0.5,,0.05468215994531784,0.05468215994531784,76,0.27262952933587664,9,0.4397905759162304,31.300000000000004,8.000000000000002,9,9,75,3,3,0,0.0,9.0,21.711742545877183,1.7526184028734926,147.21994584137337,False,False,cost_time_only
cost_time_only_alpha_1.0,,cfD_tailheavy_1_seed20260622_off1440,1,1.0,,0.08749145591250852,0.08749145591250852,77,0.26965463103809323,8,0.46596858638743455,38.50000000000001,12.800000000000002,8,8,81,3,3,0,1.0,9.0,22.674686067559747,1.6361067501187678,145.61350076057033,False,False,cost_time_only
full_trbg_alpha_0.25,,cfD_tailheavy_1_seed20260622_off1440,1,0.25,,0.08749145591250852,0.08749145591250852,70,0.2613138029753221,3,0.4293193717277487,34.5,12.800000000000002,3,3,79,3,3,0,1.0,8.0,21.503971128928953,1.7208469952033405,141.10945360667392,False,False,full_trbg
full_trbg_alpha_0.5,,cfD_tailheavy_1_seed20260622_off1440,1,0.5,,0.08749145591250852,0.08749145591250852,71,0.25174195168560465,3,0.43455497382198954,36.800000000000004,12.800000000000002,3,3,80,3,3,0,1.0,9.0,21.39047318194286,1.6378392037376688,135.9406539102265,False,False,full_trbg
full_trbg_alpha_1.0,,cfD_tailheavy_1_seed20260622_off1440,1,1.0,,0.051948051948051945,0.051948051948051945,68,0.21182379438175336,3,0.39267015706806285,30.500000000000004,7.600000000000001,3,3,72,3,3,0,0.0,8.299999999999997,23.023492520650226,1.5251313195486242,114.38484896614682,False,False,full_trbg
source_frozen_transfer,,cfD_tailheavy_1_seed20260622_off1440,2,0.0,,0.19412166780587822,0.19412166780587822,91,0.37178617262373387,12,0.6073298429319371,56.300000000000004,28.400000000000006,12,12,104,6,5,1,0.0,5.0,27.25368781747489,1.7307287346277267,200.7645332168163,False,False,none
fail_only_alpha_0.25,,cfD_tailheavy_1_seed20260622_off1440,2,0.25,,0.18591934381408057,0.18591934381408057,82,0.3812682791374359,5,0.5549738219895288,53.800000000000004,27.200000000000003,5,5,101,4,4,0,0.0,6.0,29.413126522640013,1.9423101012661828,205.88487073421538,False,False,fail_only
fail_only_alpha_0.5,,cfD_tailheavy_1_seed20260622_off1440,2,0.5,,0.17771701982228288,0.17771701982228288,79,0.3218183056697087,3,0.5340314136125655,51.400000000000006,26.000000000000004,3,3,99,5,5,0,0.0,5.949999999999989,31.03485937679515,1.7037439711925755,173.7818850616427,False,False,fail_only
fail_only_alpha_1.0,,cfD_tailheavy_1_seed20260622_off1440,2,1.0,,0.19412166780587822,0.19412166780587822,72,0.3355884470896281,3,0.5078534031413613,53.10000000000001,28.400000000000006,3,3,94,4,4,0,0.0,7.0,31.079460500441876,1.8682243446226718,181.21776142839917,False,False,fail_only
cost_time_only_alpha_0.25,,cfD_tailheavy_1_seed20260622_off1440,2,0.25,,0.2023239917976759,0.2023239917976759,91,0.37759866208989223,11,0.612565445026178,58.70000000000001,29.600000000000005,11,11,106,5,5,0,0.0,6.199999999999989,27.607610054505177,1.7427630557995026,203.90327752854182,False,False,cost_time_only
cost_time_only_alpha_0.5,,cfD_tailheavy_1_seed20260622_off1440,2,0.5,,0.17771701982228288,0.17771701982228288,93,0.3740873431255337,11,0.6073298429319371,57.50000000000001,26.000000000000004,11,11,105,5,5,0,0.0,8.25,27.49704719617449,1.7414410800671398,202.0071652877882,False,False,cost_time_only
cost_time_only_alpha_1.0,,cfD_tailheavy_1_seed20260622_off1440,2,1.0,,0.1531100478468899,0.1531100478468899,91,0.3591748261149986,9,0.581151832460733,53.900000000000006,22.400000000000002,9,9,102,4,4,0,0.0,8.0,28.62608810373255,1.7473369919108042,193.95440610209926,False,False,cost_time_only
full_trbg_alpha_0.25,,cfD_tailheavy_1_seed20260622_off1440,2,0.25,,0.18591934381408057,0.18591934381408057,86,0.38550110443186103,7,0.5759162303664922,55.10000000000001,27.200000000000003,7,7,103,5,5,0,0.0,6.549999999999997,27.1272842168808,1.892459967210954,208.17059639320496,False,False,full_trbg
full_trbg_alpha_0.5,,cfD_tailheavy_1_seed20260622_off1440,2,0.5,,0.17771701982228288,0.17771701982228288,83,0.3211290507576307,4,0.5549738219895288,53.900000000000006,26.000000000000004,4,4,102,5,5,0,0.0,7.0,27.80629485283258,1.6359404472558545,173.40968740912058,False,False,full_trbg
full_trbg_alpha_1.0,,cfD_tailheavy_1_seed20260622_off1440,2,1.0,,0.150375939849624,0.150375939849624,71,0.29103238114605406,4,0.4712041884816754,45.1,22.000000000000004,4,4,86,3,3,0,0.0,7.0,31.760443245040047,1.7461942868763243,157.1574858188692,False,False,full_trbg
